Lesson_ID,Grade,Lesson_Letter,Deity_Name,Geometric_Concept,Math_Standard,Artifact_Type,Measurement_Focus,Myth_Theme,Activity_Medium,Canva_Color_Scheme,Estimated_Images
G3-8B,3,B,Tiamat,Chaos shapes,Composite shapes,Dragon imagery,Complex area,Primordial chaos,Mixed media,Dark colors,46
G4-1A,4,A,Shamash,Circle ratios,Fractions of circles,Sun disk designs,Diameter/radius ratio,Justice through measure,Fraction circles,Gold and orange,50
G4-1B,4,B,Sin,Lunar phases,Fractions and decimals,Moon phase seals,Phase fractions,Time measurement,Phase wheel,Silver and blue,48
G4-2A,4,A,Ishtar,8-fold symmetry,Rotational symmetry,Star patterns,45° angles,Sacred geometry,Protractor art,Red and gold,52
G4-2B,4,B,Adad,Storm angles,Angle measurement,Lightning reliefs,Obtuse and acute,Power angles,Angle construction,Blue and white,46
G4-3A,4,A,Marduk,Temple proportions,Scale and ratio,Temple models,Proportional scaling,Divine architecture,Scale modeling,Blue and gold,51
G4-3B,4,B,Nabu,Cuneiform geometry,Angle classification,Tablet designs,Angle types,Knowledge geometry,Clay tablets,Brown and beige,47
G4-4A,4,A,Ea/Enki,Tessellating waves,Tessellations,Water mosaics,Repeating tiles,Creation patterns,Tile design,Teal and green,49
G4-4B,4,B,Ninhursag,Mountain ranges,Triangular patterns,Relief carvings,Triangle types,Sacred mountains,Paper mountains,Brown and green,45
G4-5A,4,A,Nergal,Flame tessellations,Complex tessellations,Fire patterns,Irregular tessellation,Transformative fire,Escher-style design,Red and black,44
G4-5B,4,B,Ereshkigal,Seven gates,Sequential patterns,Gateway sequence,Pattern rules,Underworld journey,Sequential art,Black and purple,48
G4-6A,4,A,Dumuzi,Growth spirals,Fibonacci spirals,Plant designs,Golden ratio,Natural cycles,Spiral construction,Green and brown,46
G4-6B,4,B,Gula,Healing symmetry,Bilateral symmetry,Medical imagery,Symmetry lines,Balance as healing,Symmetrical design,Green and white,50
G4-7A,4,A,Nisaba,Grain arrays,Area models,Storage patterns,Multiplication area,Agricultural math,Area diagrams,Yellow and brown,43
G4-7B,4,B,Anu,Celestial dome,3D hemisphere,Vault architecture,Surface area intro,Heavenly vault,3D paper model,Light blue and white,47
G4-8A,4,A,Enlil,Vortex geometry,Rotational patterns,Storm vortex,Center of rotation,Wind power,Spinning art,Gray and white,49
G4-8B,4,B,Tiamat,Dragon tessellation,Complex shapes,Mythical beast,Composite area,Chaos to order,Multi-shape design,Dark colors,52
G5-1A,5,A,Shamash,Solar geometry,Coordinate planes,Sun disk math,Plotting circles,Mathematical justice,Graphing circles,Gold and orange,55
G5-1B,5,B,Sin,Lunar coordinates,Coordinate systems,Moon phase plots,Coordinate plotting,Time and space,Moon phase graph,Silver and blue,52
G5-2A,5,A,Ishtar,Star coordinates,Coordinate graphing,Star positioning,8-point plotting,Divine mathematics,Star plotting,Red and gold,58
G5-2B,5,B,Adad,Vector angles,Vectors,Lightning vectors,Vector direction,Force and direction,Vector diagrams,Blue and white,50
G5-3A,5,A,Marduk,Temple volume,Volume calculation,Temple architecture,Cubic volume,Sacred space,3D modeling,Blue and gold,56
G5-3B,5,B,Nabu,Tablet volume,Rectangular prisms,Clay tablets,Volume of prisms,Knowledge storage,Box volume,Brown and beige,51
G5-4A,5,A,Ea/Enki,Water volume,Liquid volume,Vessel capacity,Cylinder volume,Life-giving measure,Container math,Teal and green,54
G5-4B,5,B,Ninhursag,Mountain volume,Pyramid volume,Ziggurat structures,Pyramid calculation,Sacred mountain,Pyramid building,Brown and green,49
G5-5A,5,A,Nergal,Flame transformations,Transformations,Fire patterns,Translation and rotation,Transformative power,Transformation art,Red and black,48
G5-5B,5,B,Ereshkigal,Gate sequences,Algebraic patterns,Seven gates,Pattern formulas,Journey patterns,Algebraic art,Black and purple,53
G5-6A,5,A,Dumuzi,Spiral ratios,Ratio and proportion,Plant spirals,Golden ratio,Natural proportion,Spiral measurements,Green and brown,50
G5-6B,5,B,Gula,Healing proportions,Scale drawings,Medical tools,Proportional scaling,Balanced healing,Scale diagrams,Green and white,55
G5-7A,5,A,Nisaba,Agricultural plots,Area and perimeter,Field divisions,Complex area,Land mathematics,Field mapping,Yellow and brown,47
G5-7B,5,B,Anu,Celestial coordinates,Spherical geometry,Star dome,Sphere surface,Heavenly mathematics,Dome coordinates,Light blue and white,52
G5-8A,5,A,Enlil,Wind patterns,Data and graphing,Storm tracking,Pattern graphing,Predictive wind,Weather graphs,Gray and white,54
G5-8B,5,B,Tiamat,Chaos to order,All geometric concepts,Creation story,Comprehensive review,Ultimate synthesis,Final project,All colors,60
