Grade,Week,Deity,Element,Artifact_Category,Artifact_Name,Artifact_Description,Educational_Function,Safety_Level,Storage_Requirements
3,5,Marduk,Spade,Invention_Materials,Organization Efficiency Testing,Materials for testing space use and organizational efficiency,Test effectiveness of different organizational approaches,Safe,Activity Bins
3,5,Marduk,Spade,Invention_Materials,Rectangular System Supplies,Building supplies for rectangular organizational systems,Explore how rectangular organization maximizes efficiency,Safe,Building Storage
3,5,Marduk,Spade,Invention_Materials,Organization Comparison Examples,Examples of organized vs disorganized space effectiveness,Demonstrate advantages of systematic organization,Safe,Comparison Display
3,5,Marduk,Spade,Project_Objects,Geometric Organization Manipulatives,Manipulatives for geometric organization exploration,Provide hands-on systematic organization materials,Safe,Manipulative Bins
3,5,Marduk,Spade,Project_Objects,Organizational Design Supplies,Art construction supplies for organizational design challenges,Enable creation of systematic organization solutions,Safe,Art Cabinet
3,5,Marduk,Spade,Project_Objects,Space Planning Materials,Space planning materials for hands-on organization experiments,Support efficient space use design and testing,Safe,Planning Storage
3,5,Marduk,Spade,Project_Objects,Systematic Innovation Materials,Innovation materials for systematic organization projects,Allow creation of sophisticated organizational systems,Safe,Innovation Center
3,6,Nabu,Stylus,STEM_History,Nabu Stylus Symbols,Stylus symbols and ancient cuneiform writing examples,Understanding information preservation and systematic communication,Safe,Display Board
3,6,Nabu,Stylus,STEM_History,Writing System Development Timeline,Timeline showing writing system development across civilizations,Demonstrate evolution of information recording systems,Safe,File Storage
3,6,Nabu,Stylus,STEM_History,Cross-Cultural Recording Innovations,Examples of information recording innovations worldwide,Show global adoption of systematic communication principles,Safe,Map Storage
3,6,Nabu,Stylus,Invention_Materials,Stylus Construction Tools,Wedge-marking tools for stylus construction and use,Enable construction of effective information recording tools,Safe,Tool Cabinet
3,6,Nabu,Stylus,Invention_Materials,Recording Effectiveness Testing,Materials for testing information recording durability,Test effectiveness of different recording approaches,Safe,Activity Bins
3,6,Nabu,Stylus,Invention_Materials,Symbol System Supplies,Communication supplies for symbol system reliability exploration,Explore how systematic symbols create reliable communication,Safe,Communication Storage
3,6,Nabu,Stylus,Project_Objects,Stylus Exploration Manipulatives,Manipulatives for stylus and symbol system exploration,Provide hands-on information recording materials,Safe,Manipulative Bins
3,6,Nabu,Stylus,Project_Objects,Information Design Supplies,Art recording supplies for information system design challenges,Enable creation of effective information sharing solutions,Safe,Art Cabinet
3,6,Nabu,Stylus,Project_Objects,Information Management Materials,Organization materials for information management experiments,Support systematic information organization and access,Safe,Organization Storage
3,6,Nabu,Stylus,Project_Objects,Information Innovation Materials,Innovation materials for information system design projects,Allow creation of sophisticated information sharing systems,Safe,Innovation Center
3,7,Ea,Water_Streams,STEM_History,Ea Water Stream Symbols,Water stream symbols and ancient irrigation diagrams,Understanding flow networks and distribution systems,Safe,Display Board
3,7,Ea,Water_Streams,STEM_History,Water Management Timeline,Timeline showing water management system development,Demonstrate evolution of flow network engineering,Safe,File Storage
3,7,Ea,Water_Streams,STEM_History,Cross-Cultural Flow Networks,Examples of flow network innovations across civilizations,Show global adoption of network distribution principles,Safe,Map Storage
3,7,Ea,Water_Streams,Invention_Materials,Water Flow Construction Tools,Water flow measurement tools for construction,Enable construction of effective flow distribution systems,Supervised,Tool Cabinet
3,7,Ea,Water_Streams,Invention_Materials,Network Efficiency Testing,Materials for testing distribution effectiveness,Test efficiency of different network approaches,Supervised,Activity Bins
3,7,Ea,Water_Streams,Invention_Materials,Flow System Building Supplies,Building supplies for branching flow systems,Explore how network systems distribute resources efficiently,Supervised,Building Storage
3,7,Ea,Water_Streams,Invention_Materials,Network Pattern Comparisons,Examples of natural vs designed network patterns,Demonstrate advantages of branching distribution systems,Safe,Comparison Display
3,7,Ea,Water_Streams,Project_Objects,Flow Exploration Manipulatives,Manipulatives for flow pattern exploration and network building,Provide hands-on flow network exploration materials,Supervised,Manipulative Bins
3,7,Ea,Water_Streams,Project_Objects,Flow Design Supplies,Art construction supplies for flow system design challenges,Enable creation of effective distribution solutions,Supervised,Art Cabinet
3,7,Ea,Water_Streams,Project_Objects,Distribution Testing Materials,Water flow testing materials for distribution experiments,Support flow network design and testing with water,Supervised,Water Storage
3,7,Ea,Water_Streams,Project_Objects,Network Innovation Materials,Innovation materials for young network designers,Allow creation of sophisticated distribution systems,Safe,Innovation Center
3,8,Ninhursag,Omega,STEM_History,Ninhursag Omega Symbols,Omega symbols and ancient earth goddess artwork,Understanding regenerative systems and omega patterns,Safe,Display Board
3,8,Ninhursag,Omega,STEM_History,Sustainable Development Timeline,Timeline showing sustainable development across civilizations,Demonstrate evolution of regenerative system thinking,Safe,File Storage
3,8,Ninhursag,Omega,STEM_History,Cross-Cultural Regenerative Examples,Examples of regenerative innovations worldwide,Show global adoption of sustainable regenerative principles,Safe,Map Storage
3,8,Ninhursag,Omega,Invention_Materials,Omega Construction Tools,Omega curve construction and measurement tools,Enable construction of sustainable cyclical systems,Safe,Tool Cabinet
3,8,Ninhursag,Omega,Invention_Materials,Regenerative Testing Materials,Materials for testing regenerative vs depleting effectiveness,Test sustainability of different system approaches,Safe,Activity Bins
3,8,Ninhursag,Omega,Invention_Materials,Cyclical System Supplies,Building supplies for cyclical flow and sustainable design,Explore how cyclical systems create renewable abundance,Safe,Building Storage
3,8,Ninhursag,Omega,Invention_Materials,Regenerative Pattern Comparisons,Examples of natural vs designed regenerative patterns,Demonstrate advantages of cyclical regenerative systems,Safe,Comparison Display
3,8,Ninhursag,Omega,Project_Objects,Omega Exploration Manipulatives,Manipulatives for omega pattern and cyclical system exploration,Provide hands-on regenerative system exploration materials,Safe,Manipulative Bins
3,8,Ninhursag,Omega,Project_Objects,Regenerative Design Supplies,Art construction supplies for regenerative design challenges,Enable creation of sustainable regenerative solutions,Safe,Art Cabinet
3,8,Ninhursag,Omega,Project_Objects,Sustainability Testing Materials,Sustainability testing materials for regenerative experiments,Support regenerative system design and testing,Safe,Sustainability Storage
3,8,Ninhursag,Omega,Project_Objects,Regenerative Innovation Materials,Innovation materials for regenerative system designers,Allow creation of sophisticated regenerative systems,Safe,Innovation Center
