Grade,Week,Deity,Element,Artifact_Category,Artifact_Name,Quantity,Estimated_Cost,Storage_Requirements,Safety_Notes
4,4,Adad,Lightning Bolt,General,Flashlights and mirrors for communication,5-6 sets,$35-50,Tool storage,Battery check
4,4,Adad,Lightning Bolt,General,Examples of modern zigzag engineering,Collection,$20-30,Digital/print,None
4,5,Marduk,Spade,STEM_History,Replica ancient spades and tools,Tool collection,$50-75,Tool rack,Blunt edges required
4,5,Marduk,Spade,STEM_History,Ancient city plans showing development,Map collection,$20-30,File storage,None
4,5,Marduk,Spade,STEM_History,Tool evolution timeline materials,Display set,$25-35,Wall storage,None
4,5,Marduk,Spade,Invention,Various spades and shovels for analysis,6-8 tools,$60-90,Tool rack,Age-appropriate size
4,5,Marduk,Spade,Invention,Protractors and rulers for angles,30 sets,$45-65,Tool storage,None
4,5,Marduk,Spade,Invention,Force measurement tools,Testing set,$40-60,Tool storage,Calibration check
4,5,Marduk,Spade,General,Clay or sand for simulation,Materials,$20-30,Covered storage,Dust control
4,5,Marduk,Spade,General,Design materials for prototyping,Construction set,$35-50,Bin storage,None
4,5,Marduk,Spade,General,Examples of modern specialized tools,Collection,$25-35,Display/digital,None
4,6,Nabu,Stylus,STEM_History,Ancient cuneiform tablets and tools,Replica set,$30-45,Display storage,Handle carefully
4,6,Nabu,Stylus,STEM_History,Examples of early writing development,Historical collection,$20-30,File storage,None
4,6,Nabu,Stylus,STEM_History,Preserved cuneiform writing examples,Image collection,$15-25,Digital/print,None
4,6,Nabu,Stylus,Invention,Clay tablets and stylus designs,30 sets,$40-60,Bin storage,Non-toxic clay
4,6,Nabu,Stylus,Invention,Stylus construction materials,Building set,$25-35,Tool storage,Smooth edges
4,6,Nabu,Stylus,Invention,Different writing tools for comparison,Tool collection,$30-45,Tool storage,Age-appropriate
4,6,Nabu,Stylus,General,Information organization materials,System supplies,$25-35,Bin storage,None
4,6,Nabu,Stylus,General,Symbol design and testing supplies,Design set,$20-30,Art storage,None
4,6,Nabu,Stylus,General,Examples of modern information preservation,Tech examples,$15-25,Digital/display,None
4,7,Ea,Water Streams,STEM_History,Ancient irrigation systems,Model/image set,$25-35,Display storage,None
4,7,Ea,Water Streams,STEM_History,Cross-cultural water engineering,Example collection,$20-30,File storage,None
4,7,Ea,Water Streams,STEM_History,Examples of natural flow systems,Photo/video set,$15-25,Digital storage,None
4,7,Ea,Water Streams,Invention,Water flow demonstration materials,Channel system,$45-65,Bin storage,Waterproof container
4,7,Ea,Water Streams,Invention,Measuring tools for flow analysis,Measurement set,$30-45,Tool storage,Water-resistant
4,7,Ea,Water Streams,Invention,Channel construction supplies,Building materials,$35-50,Bin storage,None
4,7,Ea,Water Streams,General,School resource flow analysis materials,Planning supplies,$20-30,File storage,None
4,7,Ea,Water Streams,General,Modeling materials for flow systems,Construction set,$40-60,Bin storage,None
4,7,Ea,Water Streams,General,Examples of modern flow-based systems,Collection,$20-30,Digital/print,None
4,8,Ninhursag,Right Triangle,STEM_History,Ancient architecture showing foundations,Image collection,$25-35,File storage,None
4,8,Ninhursag,Right Triangle,STEM_History,Timeline of geometric construction,Display materials,$20-30,Wall storage,None
4,8,Ninhursag,Right Triangle,STEM_History,Archaeological evidence of angles,Historical examples,$15-25,File storage,None
4,8,Ninhursag,Right Triangle,Invention,Right triangle construction tools,30 sets,$50-70,Tool storage,None
4,8,Ninhursag,Right Triangle,Invention,Protractors rulers square-checking tools,Tool collection,$45-65,Tool storage,None
4,8,Ninhursag,Right Triangle,Invention,Building blocks for testing,Block sets,$40-60,Bin storage,Smooth edges
4,8,Ninhursag,Right Triangle,General,Multi-purpose structure design materials,Planning supplies,$30-45,Bin storage,None
4,8,Ninhursag,Right Triangle,General,Foundation stability testing tools,Testing equipment,$35-50,Tool storage,Weight limits
4,8,Ninhursag,Right Triangle,General,Examples of modern structural engineering,Collection,$25-35,Digital/display,None

SUMMARY_TOTALS:
Total_Items_All_Weeks: 179
Total_Estimated_Cost_Range: $2040-2980
Total_Storage_Space_Required: 18-20_cubic_feet
Setup_Time_All_Weeks: 16-24_hours
Reusable_Percentage: 85%

PROCUREMENT_CATEGORIES:
STEM_History_Components: 24_items ($480-720)
Invention_Materials: 24_items ($980-1440) 
General_Project_Objects: 24_items ($580-820)
Safety_Equipment_Needed: Basic_supervision_tools
Storage_Solutions_Required: Tool_racks_bins_file_storage_digital_systems

WEEKLY_BREAKDOWN:
Week_1_Shamash_Circle: 28_items ($120-180)
Week_2_Sin_Crescent: 26_items ($100-150) 
Week_3_Ishtar_8Point_Star: 27_items ($110-160)
Week_4_Adad_Lightning_Bolt: 25_items ($130-180)
Week_5_Marduk_Spade: 24_items ($120-170)
Week_6_Nabu_Stylus: 18_items ($90-130)
Week_7_Ea_Water_Streams: 19_items ($100-140)
Week_8_Ninhursag_Right_Triangle: 20_items ($110-160)

SPECIAL_SAFETY_CONSIDERATIONS:
- All_tools_age-appropriate_for_Grade_4_students
- Compass_points_require_supervision
- Water_activities_need_waterproof_storage
- Weight_testing_within_safe_limits_for_children
- Sharp_edges_eliminated_or_supervised
- Non-toxic_materials_for_all_hands-on_activities

STORAGE_OPTIMIZATION:
- Many_materials_reusable_across_weeks
- Digital_storage_reduces_physical_space_needs
- Modular_storage_system_recommended
- Tool_checkout_system_for_expensive_items
- Shared_materials_between_multiple_Grade_4_classes

IMPLEMENTATION_NOTES:
- Gradual_procurement_over_summer_before_school_year
- Partner_with_science_department_for_shared_materials
- Parent_volunteer_coordination_for_material_preparation
- Local_business_partnerships_for_real-world_examples
- Digital_resource_development_reduces_printing_costs
