Week,Artifact_Name,Category,Quantity,Source,Notes
1,Student reflection materials,General Project,1 per student,Teacher-created,Age-appropriate prompts
1,Career pathway information,General Project,Handouts,Professional organizations,Diverse representation
2,Venus observation images,STEM History,Multiple image sets,Astronomical societies,Emphasize 8-year cycle
2,Venus cycle diagrams,STEM History,2-3 diagrams,Astronomy textbooks,Age-appropriate math
2,Sin with lunar crescents,STEM History,Multiple examples,Archaeological museums,Show evolution
2,Ancient lunar calendars,STEM History,1-2 replicas,Museum reproductions,Practical applications
2,Cuneiform lunar calculations,STEM History,2-3 examples,Educational archaeology,Focus on accuracy
2,Compasses and rulers,Invention-Related,25-30 sets,Educational supplies,Supervise compass points
2,Pre-cut crescents,Invention-Related,3-4 per group,Cut from cardboard,Various sizes
2,Crescent-shaped tools,Invention-Related,2-3 examples each,Hardware stores,Ensure blunt edges
2,Water and containers,Invention-Related,5-6 containers,Classroom supplies,Waterproof surfaces
2,Channel creation materials,Invention-Related,Group supplies,Craft supplies,Straight vs curved
2,Measuring tools for flow,Invention-Related,2-3 stopwatches,Kitchen supplies,Digital preferred
2,Prototyping materials,General Project,Multiple sheets,Craft supplies,Various colors helpful
2,Testing materials,General Project,Large supply,Craft supplies,Repeated testing
2,Efficiency timers,General Project,2-3 timers,Educational supplies,Simultaneous testing
2,Flow measurement devices,General Project,2-3 tools,Science supplies,Age-appropriate
2,Technical drawing paper,General Project,Multiple sheets,Educational supplies,1cm grid recommended
2,Pump examples,General Project,1-2 examples,Science suppliers,Hand pumps preferred
2,Working model materials,General Project,4-5 group sets,Science supplies,Clean materials
2,Archaeological tool photos,General Project,Image collection,Museums,Show evolution
2,Modern curved tools,General Project,3-4 examples,Hardware stores,Good condition
2,Technology timeline,General Project,Large format,Teacher-created,Visual progression
2,Scientific calculators,General Project,8-10,Educational supplies,Basic functions
2,Real crescentic tools,General Project,2-3 per group,Hardware stores,Safe handling
2,Renewable energy demos,General Project,1-2 models,Science suppliers,Emphasize cycles
2,Design software access,General Project,Computer access,Computer lab,Age-appropriate
2,Career information,General Project,Handouts,Professional organizations,Diverse representation
2,Mars agriculture data,General Project,Data sheets,NASA resources,Cyclical challenges
2,Design materials,General Project,Standard kits,Classroom supplies,Iterative design
2,Presentation templates,General Project,Templates,Educational supplies,Visual format
2,Evaluation rubric,General Project,1 per student,Teacher-created,Emphasize cycles
2,Sustainable technology,General Project,Image collection,Renewable energy,Wind turbines
2,Student reflection materials,General Project,Journals,Educational publishers,Personal connection
2,Career pathway information,General Project,Materials,Professional organizations,Environmental focus
3,Venus observation records,STEM History,Multiple examples,Astronomical societies,8-year cycle documentation
3,Ishtar with 8-point stars,STEM History,3-4 examples,Archaeological museums,Show evolution
3,Ancient navigation tools,STEM History,2-3 replicas,Museum reproductions,Practical applications
3,Venus cycle documentation,STEM History,Historical data,Astronomy history,Ancient accuracy
3,Network technology timeline,STEM History,Large format,Technology history,Star topology persistence
3,Compasses and protractors,Invention-Related,25-30 each,Educational supplies,Supervise compass points
3,Graph paper with circles,Invention-Related,Multiple sheets,Educational supplies,Various sizes
3,Colored pencils,Invention-Related,1 set per group,Art supplies,Different components
3,String and pushpins,Invention-Related,Large supply,Craft supplies,Supervise pushpins
3,Large maps/poster boards,Invention-Related,6-8 sheets,Educational supplies,24x36 minimum
3,Network worksheets,Invention-Related,Multiple per group,Teacher-created,Age-appropriate
3,Colored cards/tokens,General Project,100+ cards,Gaming supplies,Different colors
3,Stopwatches,General Project,4-5 timers,Educational supplies,Simultaneous testing
3,Performance tracking sheets,General Project,Multiple per group,Teacher-created,Include metrics
3,Scientific calculators,General Project,8-10,Educational supplies,Network calculations
3,Graph paper for networks,General Project,Multiple sheets,Educational supplies,Different scales
3,Real-world network data,General Project,Data sets,Network engineering,Simplified data
3,City maps for coverage,General Project,6-8 maps,City planning,Local maps preferred
3,Compass for sector analysis,General Project,1 per group,Educational supplies,Large protractors
3,Colored pencils for coverage,General Project,Multiple sets,Art supplies,Transparent markers useful
3,Timeline visualization,General Project,Large format,Technology museums,Star pattern persistence
3,World map with overlays,General Project,Large map,Educational geography,Different cultures
3,Connectivity comparison charts,General Project,Data visualization,Teacher-created,Efficiency gains
3,Smart city materials,General Project,Case studies,Urban planning,Local examples
3,Network simulation software,General Project,Computer access,Educational software,Paper alternatives
3,Career pathway information,General Project,Materials,Engineering organizations,Network engineering
3,Mars colony data,General Project,Data sheets,NASA resources,Communication delays
3,Network design templates,General Project,Templates,Engineering resources,Systematic design
3,Prototyping materials,General Project,Various,Craft supplies,High/low tech options
3,Modern network examples,General Project,Image collections,Telecommunications,Internet backbone
3,Global connectivity maps,General Project,World maps,Infrastructure organizations,Recent data
3,Student reflection materials,General Project,Journals,Educational publishers,Connect networks
3,Future technology careers,General Project,Materials,Technology industry,Emerging fields
4,Plant growth image series,STEM History,Time-lapse series,Botanical resources,Radial patterns
4,Ninlil agricultural artwork,STEM History,3-4 examples,Archaeological museums,Growth themes
4,Agricultural planning tablets,STEM History,2-3 replicas,Museum reproductions,Systematic planning
4,Archaeological site plans,STEM History,Multiple plans,Archaeological surveys,Modular organization
4,Modular construction timeline,STEM History,Large format,Construction history,Continuity principles
4,Compasses and protractors,Invention-Related,25-30 each,Educational supplies,Supervise compass points
4,Template shapes,Invention-Related,Multiple sets,Teacher-created,Various module shapes
4,Colored materials,Invention-Related,Multiple colors,Craft supplies,Color coding helps
4,LEGO or modular blocks,Invention-Related,Large collection,Educational building,Uniform components
4,Construction materials,Invention-Related,Multiple sheets,Craft supplies,2D and 3D modeling
4,Graph paper,Invention-Related,Various grid sizes,Educational supplies,Different scales
4,Scientific calculators,General Project,8-10,Educational supplies,Growth modeling
4,Population scenarios,General Project,Multiple worksheets,Teacher-created,Realistic patterns
4,Growth modeling materials,General Project,Templates,Mathematics resources,Age-appropriate
4,Timing devices,General Project,4-5 timers,Educational supplies,Simultaneous testing
4,Flow simulation materials,General Project,Various materials,Science supplies,Distribution testing
4,Performance tracking sheets,General Project,Data forms,Teacher-created,Efficiency metrics
4,Natural specimens,General Project,3-4 per group,Nature collection,Fibonacci patterns
4,Architectural models,General Project,2-3 examples,Archaeological resources,Modular expansion
4,World map with examples,General Project,Large map,Educational geography,Cultural diversity
4,Modern modular examples,General Project,Case studies,Technology industry,Scalability benefits
4,Engineering examples,General Project,Professional examples,Engineering journals,Breadth of applications
4,Design templates,General Project,Templates per group,Engineering resources,Evaluation methods
4,Urban agriculture data,General Project,Data sheets,Urban planning,Contemporary challenges
4,Modular design templates,General Project,Worksheets,Engineering education,User needs analysis
4,Scaling worksheets,General Project,Templates,Mathematics education,Linear and exponential
4,Sustainable project examples,General Project,Case studies,Sustainability organizations,Impact analysis
4,Career information,General Project,Materials,Professional organizations,Diverse representation
4,Presentation materials,General Project,Templates,Educational supplies,Digital and physical
4,Decision analysis tools,General Project,Worksheets,Systems engineering,Age-appropriate
4,Engineering cost data,General Project,Simplified data,Construction industry,Round numbers
4,Efficiency comparison charts,General Project,Templates,Data visualization,Tabular and graphical
5,Organization photos,STEM History,Paired image sets,Urban planning,Geometric vs random
5,Ancient landscape images,STEM History,Recreation images,Archaeological reconstructions,Natural flood plains
5,Geometric system maps,STEM History,3-4 maps,Archaeological surveys,Straight lines
5,Creation myth artwork,STEM History,Multiple interpretations,Mythology resources,Order from chaos
5,Tool collection photos,STEM History,Museum images,Archaeological museums,Geometric vs organic
5,Rulers and protractors,Invention-Related,25-30 each,Educational supplies,Metric and imperial
5,Spade blade images,Invention-Related,Image collection,Tool manufacturers,Design evolution
5,Blade geometry diagrams,Invention-Related,Technical drawings,Engineering resources,Age-appropriate
5,Modeling clay/sand,Invention-Related,6-8 group supplies,Craft supplies,Clean materials
5,Various blade shapes,Invention-Related,3-4 each type,Cut materials,Smooth edges
5,Lever materials,Invention-Related,Multiple sets,Educational supplies,Appropriate weights
5,Mathematical tablets,General Project,2-3 replicas,Educational archaeology,Area/volume focus
5,Measurement tools,General Project,Multiple examples,Educational history,Compare standards
5,Scientific calculators,General Project,8-10,Educational supplies,Area/volume work
5,Prototyping supplies,General Project,Large supply,Craft supplies,Multiple iterations
5,Sand trays,General Project,6-8 containers,Educational supplies,Waterproof surfaces
5,Measuring tools,General Project,Multiple sets,Educational supplies,Linear and volume
5,Topographic maps,General Project,Before/after examples,Geography resources,Local examples
5,Irrigation aerial photos,General Project,Image collection,Agricultural engineering,Systematic agriculture
5,Timeline visualization,General Project,Large format,Tool history,Geometric principles
5,Engineering project examples,General Project,Case studies,Civil engineering,Systematic organization
5,Irrigation modeling materials,General Project,4-5 group supplies,Science supplies,Flow systems
5,Career information,General Project,Materials,Professional organizations,Diverse fields
5,Mars environment data,General Project,Data packets,NASA resources,Geometric challenges
5,Design materials,General Project,Complete kits,Classroom supplies,Iterative design
5,Presentation formats,General Project,Templates,Educational supplies,Technical communication
5,Technology examples,General Project,Case studies,Technology companies,Geometric principles
5,Global challenge visuals,General Project,Infographics,Environmental organizations,Connect solutions
5,Reflection materials,General Project,1 per student,Educational publishers,Technical and personal
5,Technical drawing paper,General Project,Multiple sheets,Educational supplies,Various scales
5,Testing materials,General Project,Various tools,Science supplies,Quantitative analysis
5,Replica tools,General Project,2-3 examples,Educational suppliers,Safe handling
6,Legal codes and records,STEM History,Code replicas,Museum reproductions,Information organization
6,Organization timeline,STEM History,Large format,Information systems,Framework evolution
6,Rectangular urban planning,STEM History,Site plans,Urban archaeology,Grid systems
6,Cultural organization examples,STEM History,Various examples,Comparative archaeology,Universal applicability
6,Construction tools,Invention-Related,25-30 sets,Educational supplies,Drafting supplies
6,Framework materials,Invention-Related,Group supplies,Educational building,Structural components
6,Database templates,Invention-Related,Multiple templates,Information systems,Age-appropriate
6,Engineering examples,Invention-Related,Case studies,Systems engineering,Contemporary frameworks
6,Building materials,General Project,Large supply,Craft supplies,Multiple projects
6,Load testing materials,General Project,Graduated weights,Physics supplies,Student-appropriate
6,Structural measurement,General Project,Precision tools,Educational supplies,Accuracy emphasis
6,Information organization,General Project,Large supply,Office supplies,Physical and template
6,Computer access,General Project,Lab access,Educational technology,Manual alternatives
6,Technical drawing materials,General Project,Various scales,Educational supplies,Different grid sizes
6,Emergency response resources,General Project,Design packets,Emergency management,Realistic constraints
6,City maps and data,General Project,Local area maps,City planning,Population data
6,Communication planning,General Project,Templates,Telecommunications,Information flow
6,Systematic examples,General Project,Case studies,Organizational management,Multiple domains
6,Smart city materials,General Project,Case studies,Urban planning,Technology integration
6,Structural analysis tools,General Project,Professional tools,Structural engineering,Age-appropriate
6,Career information,General Project,Materials,Systems engineering,Professional pathways
6,Framework examples,General Project,Examples,Technology companies,Modern applications
6,Assessment materials,General Project,Rubrics,Educational assessment,Technical and systematic
6,Evaluation rubric,General Project,Advanced tools,Systems engineering,Trade-off analysis
6,Professional examples,General Project,Case studies,Engineering firms,Real projects
6,Collaborative tools,General Project,Templates,Design resources,Team coordination
7,Triangular architecture,STEM History,Multiple examples,Archaeological sites,Hierarchical structures
7,Engineering evolution timeline,STEM History,Large format,Structural engineering,Ancient to modern
7,Construction evidence,STEM History,Detail images,Archaeological engineering,Ancient sophistication
7,Cultural triangle examples,STEM History,Global examples,Comparative architecture,Universal advantages
7,Triangle construction tools,Invention-Related,25-30 complete sets,Educational supplies,Equilateral and scalene
7,Structural building materials,Invention-Related,6-8 group supplies,Educational building,Triangular connectors
7,Surveying tools,Invention-Related,Simplified tools,Surveying education,Professional methods
7,Modern engineering examples,Invention-Related,Contemporary structures,Structural engineering,Cutting-edge applications
7,Framework construction materials,General Project,Large supply,Educational construction,Various sizes
7,Load testing equipment,General Project,Graduated weights,Physics education,Student structures
7,Precision instruments,General Project,Measurement devices,Engineering education,Accuracy emphasis
7,Space design materials,General Project,Design packets,NASA resources,Space environment
7,Microgravity simulation,General Project,Simulation tools,Space education,Construction challenges
7,Advanced materials examples,General Project,Sample materials,Materials engineering,Property information
7,Hierarchy examples,General Project,Various systems,Organizational management,Triangular organization
7,Network analysis tools,General Project,Diagramming tools,Systems analysis,Relationship analysis
7,Decision-making examples,General Project,Case studies,Management science,Systematic processes
7,Cultural structure comparison,General Project,Image collections,Comparative architecture,Global examples
7,Innovation timeline,General Project,Historical progression,Engineering history,Technological advancement
7,Modern structure examples,General Project,Technical drawings,Structural engineering,Aesthetic and functional
7,Analysis software,General Project,Educational software,Engineering education,Professional methods
7,Career information,General Project,Materials,Professional organizations,Structural and aerospace
7,Evaluation rubrics,General Project,Assessment tools,Engineering education,Technical and innovation
7,Safety equipment,General Project,Protection gear,Educational safety,Controlled testing
7,Data collection tools,General Project,Analysis templates,Scientific data,Systematic testing
7,Professional examples,General Project,Case studies,Structural engineering,Real projects
8,Surveying tools,STEM History,Replica tools,Archaeological tools,Early precision
8,Precision timeline,STEM History,Large format,Metrology history,Accuracy advancement
8,Construction accuracy evidence,STEM History,Technical analysis,Archaeological engineering,Ancient precision
8,Cultural measurement examples,STEM History,Various civilizations,Comparative metrology,Universal need
8,Right triangle tools,Invention-Related,25-30 precision sets,Educational supplies,Squares and rulers
8,Precision instruments,Invention-Related,High-accuracy tools,Precision suppliers,Age-appropriate
8,Accuracy testing equipment,Invention-Related,Verification tools,Metrology education,Mechanical and optical
8,Modern precision examples,Invention-Related,Contemporary applications,Precision industries,High-tech applications
8,Precision construction materials,General Project,High-accuracy components,Educational precision,Quality materials
8,Advanced measurement tools,General Project,Beyond basic rulers,Metrology education,Contact and non-contact
8,Error analysis materials,General Project,Quality assessment tools,Quality control,Statistical analysis
8,GPS devices,General Project,Educational units,Educational technology,Handheld and smartphone
8,Surveying equipment,General Project,Basic instruments,Surveying education,Traditional and modern
8,Mapping materials,General Project,Coordinate systems,Geography education,Positioning systems
8,Space navigation challenges,General Project,Mission scenarios,NASA resources,Accuracy requirements
8,Orbital mechanics materials,General Project,Simulation tools,Space education,Navigation accuracy
8,Advanced calculators,General Project,Scientific calculators,Mathematical education,Trigonometric functions
8,Quality control examples,General Project,Case studies,Manufacturing industry,Precision manufacturing
8,International standards,General Project,Standards information,Metrology organizations,Global precision
8,Calibration examples,General Project,Demonstration materials,Precision manufacturers,Accuracy maintenance
8,Career information,General Project,Materials,Professional organizations,Precision engineering
8,Precision project examples,General Project,Case studies,Precision engineering,High-accuracy industries
8,Measurement comparison,General Project,Comparative data,Metrology history,Accuracy improvements
8,Data collection tools,General Project,Recording materials,Scientific data,Precision assessment
8,Statistical analysis materials,General Project,Analysis tools,Statistics education,Precision and accuracy
8,Professional examples,General Project,Documentation,Precision engineering,High-precision achievements
